TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
3.3333333,3153.5437,3332.156,3246.3171,281.83026,600.65363,263.01093,18.16975,199.34636,36.989071,0.060565829,0.24918294,0.1232969
3.375,3154.157,3329.5715,3246.8389,281.62122,601.0437,262.80536,18.378794,198.95633,37.194656,0.061262645,0.2486954,0.12398218
3.4166667,3154.7698,3327.0588,3247.3535,281.41287,601.43042,262.60245,18.587128,198.5696,37.397541,0.061957091,0.24821199,0.12465847
3.4583333,3155.3821,3324.6135,3247.8613,281.20526,601.8139,262.40222,18.794741,198.18611,37.597771,0.062649131,0.24773264,0.1253259
3.5,3155.9934,3322.231,3248.3621,280.99838,602.19415,262.20462,19.001619,197.80582,37.795383,0.063338734,0.24725728,0.12598461
3.5416667,3156.6042,3319.907,3248.856,280.79224,602.57129,262.00958,19.207754,197.4287,37.990417,0.064025849,0.24678586,0.12663473
3.5833333,3157.2139,3317.6382,3249.343,280.58685,602.94531,261.81708,19.413134,197.05469,38.182915,0.064710446,0.24631836,0.12727639
3.625,3157.8228,3315.4214,3249.8235,280.38226,603.31622,261.62708,19.617746,196.68375,38.372913,0.065392487,0.24585469,0.12790972
3.6666667,3158.4307,3313.2537,3250.2974,280.17841,603.68414,261.43954,19.821585,196.31586,38.560452,0.06607195,0.24539483,0.12853484
3.7083333,3159.0374,3311.1326,3250.7646,279.97537,604.04901,261.25443,20.024637,195.95097,38.745567,0.06674879,0.24493872,0.12915188
3.75,3159.6431,3309.0552,3251.2253,279.7731,604.41095,261.07172,20.226898,195.58907,38.928291,0.067422993,0.24448632,0.12976098
3.7916667,3160.2473,3307.02,3251.6794,279.57166,604.7699,260.89133,20.428354,195.23009,39.108669,0.068094514,0.24403761,0.13036223
3.8333333,3160.8503,3305.0247,3252.1274,279.371,605.12598,260.71329,20.629002,194.87402,39.286728,0.068763338,0.24359253,0.13095576
3.875,3161.4521,3303.0671,3252.5688,279.17117,605.47913,260.53751,20.828833,194.52086,39.462505,0.069429442,0.24315107,0.13154168
3.9166667,3162.0525,3301.1462,3253.0044,278.97217,605.82947,260.36395,21.027836,194.17053,39.636036,0.070092782,0.24271317,0.13212012
3.9583333,3162.6511,3299.2598,3253.4336,278.77399,606.17694,260.19266,21.226007,193.82304,39.80735,0.070753358,0.2422788,0.13269116
4,3163.2485,3297.4067,3253.8567,278.57666,606.52167,260.02353,21.42334,193.47835,39.976482,0.071411133,0.24184795,0.13325495
4.0416665,3163.8442,3295.5857,3254.2737,278.38016,606.86359,259.85654,21.619829,193.13644,40.143467,0.072066098,0.24142055,0.13381156
4.0833335,3164.4382,3293.7952,3254.6848,278.18454,607.2027,259.69168,21.815466,192.79727,40.308334,0.072718218,0.2409966,0.13436112
4.125,3165.0305,3292.0342,3255.0901,277.98975,607.53918,259.5289,22.010246,192.46085,40.471115,0.073367484,0.24057606,0.13490371
4.1666665,3165.6213,3290.3015,3255.4895,277.79584,607.87286,259.36816,22.204165,192.12712,40.631836,0.074013881,0.2401589,0.13543946
4.2083335,3166.21,3288.5962,3255.8833,277.60278,608.20392,259.20947,22.397217,191.79607,40.790535,0.074657388,0.2397451,0.13596845
4.25,3166.7971,3286.9172,3256.2712,277.41061,608.53229,259.05276,22.589397,191.46768,40.947235,0.075297989,0.2393346,0.13649078
4.2916665,3167.3821,3285.2639,3256.6536,277.2193,608.85809,258.89804,22.780701,191.14194,41.101967,0.075935669,0.23892742,0.13700655
4.3333335,3167.9653,3283.635,3257.0305,277.02887,609.18121,258.74524,22.971127,190.8188,41.254757,0.076570421,0.2385235,0.13751586
