TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
13.041667,4159.9956,2923.7383,4365.085,68.873924,405.56091,73.609566,131.12607,994.43909,176.39043,0.65563035,0.71031362,0.70556176
13.083333,4161.0049,2924.0959,4366.3667,68.866371,405.63608,73.60743,131.13362,994.36389,176.39256,0.65566814,0.71025991,0.70557028
13.125,4161.9893,2924.4475,4367.6133,68.858879,405.71103,73.605362,131.14113,994.289,176.39464,0.65570563,0.71020639,0.70557857
13.166667,4162.9497,2924.7927,4368.8262,68.851433,405.78577,73.603371,131.14857,994.21423,176.39664,0.65574282,0.71015304,0.70558655
13.208333,4163.8877,2925.1321,4370.0073,68.84404,405.86029,73.601433,131.15596,994.13971,176.39856,0.65577984,0.71009982,0.70559424
13.25,4164.8037,2925.4648,4371.1567,68.836693,405.93463,73.599571,131.16331,994.06537,176.40044,0.65581656,0.71004671,0.70560175
13.291667,4165.6982,2925.7917,4372.2769,68.829391,406.00876,73.597763,131.17061,993.99127,176.40224,0.65585303,0.70999372,0.70560896
13.333333,4166.5723,2926.1123,4373.3682,68.822136,406.08267,73.596008,131.17786,993.9173,176.40399,0.65588927,0.70994097,0.70561594
13.375,4167.4258,2926.4268,4374.4316,68.814934,406.1564,73.594315,131.18507,993.84363,176.40569,0.65592533,0.70988828,0.70562273
13.416667,4168.2607,2926.7349,4375.4688,68.80777,406.22992,73.592682,131.19223,993.77008,176.40732,0.65596116,0.70983577,0.70562929
13.458333,4169.0762,2927.0371,4376.4805,68.800652,406.30322,73.591095,131.19936,993.69678,176.40891,0.65599674,0.70978338,0.70563561
13.5,4169.874,2927.3333,4377.4668,68.793571,406.37634,73.589554,131.20644,993.62366,176.41045,0.65603215,0.70973116,0.70564175
13.541667,4170.6538,2927.6233,4378.4297,68.78653,406.44928,73.588074,131.21347,993.55072,176.41193,0.65606737,0.70967907,0.70564771
13.583333,4171.0625,2927.9026,4034.7751,68.780136,406.52203,206.22641,131.21986,993.47797,493.77359,0.65609932,0.70962709,0.70539087
13.625,4171.0864,2928.1646,4015.2295,68.774361,406.59473,206.3495,131.22563,993.40527,493.65048,0.65612817,0.70957518,0.70521498
13.666667,4170.8179,2928.4023,4002.1089,68.769035,406.66745,206.43193,131.23097,993.33252,493.56805,0.65615481,0.70952326,0.70509726
13.708333,4170.3521,2928.6111,3992.8962,68.764,406.74023,206.49265,131.23599,993.25977,493.50735,0.65618002,0.70947129,0.70501047
13.75,4169.7646,2928.7876,3986.1606,68.75914,406.81311,206.53978,131.24086,993.18689,493.46021,0.65620428,0.70941919,0.70494318
13.791667,4169.1104,2928.9297,3981.053,68.754364,406.88614,206.57796,131.24564,993.11383,493.42206,0.65622818,0.70936704,0.70488864
13.833333,4168.4263,2929.0376,3977.053,68.749626,406.95929,206.61,131.25038,993.04071,493.39001,0.65625185,0.70931476,0.70484287
13.875,4167.7363,2929.1118,3973.8328,68.744881,407.03256,206.6377,131.25513,992.96741,493.3623,0.65627563,0.70926243,0.70480329
13.916667,4167.2163,2929.156,4124.5591,68.73983,407.10593,147.55479,131.26016,992.89404,352.44522,0.65630084,0.70921004,0.70489043
13.958333,4166.8784,2929.1748,4131.415,68.734489,407.17932,147.53023,131.2655,992.82068,352.46979,0.65632755,0.70915765,0.70493954
14,4166.6875,2929.1738,4135.7334,68.72892,407.25266,147.51787,131.27109,992.74731,352.48215,0.65635538,0.70910525,0.70496428
14.041667,4166.6055,2929.1577,4138.5645,68.723183,407.32593,147.51134,131.27681,992.67407,352.48868,0.65638405,0.70905292,0.70497733
14.083333,4166.5996,2929.1299,4140.4932,68.717339,407.39908,147.50824,131.28267,992.60095,352.49176,0.65641332,0.70900065,0.70498353
14.125,4166.6465,2929.094,4141.8584,68.711418,407.47205,147.50731,131.28859,992.52795,352.49271,0.65644288,0.70894855,0.70498538
14.166667,4166.729,2929.052,4142.8623,68.705452,407.54483,147.50775,131.29456,992.45514,352.49225,0.65647274,0.70889658,0.70498449
14.208333,4166.8354,2929.0059,4143.6284,68.699455,407.6174,147.50911,131.30054,992.38257,352.49088,0.65650272,0.70884472,0.70498174
14.25,4166.9575,2928.9568,4144.2344,68.693451,407.68976,147.51109,131.30655,992.31024,352.48889,0.65653276,0.70879304,0.70497781
14.291667,4167.0898,2928.9058,4144.73,68.687431,407.76187,147.5135,131.31258,992.23816,352.48651,0.65656286,0.70874155,0.70497298
14.333333,4167.229,2928.8535,4145.147,68.681412,407.83371,147.5162,131.31859,992.16626,352.4838,0.65659291,0.70869023,0.70496756
