TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
2.375,3599.6235,3578.3013,4493.7554,223.07655,216.7148,84.173927,376.92343,583.28522,215.82607,0.62820572,0.72910649,0.71942025
2.4166667,3600.1943,3639.2251,4501.7456,222.9232,216.39362,84.161774,377.07678,583.60638,215.83823,0.6284613,0.72950798,0.71946079
2.4583333,3601.9497,3681.2297,4507.0894,222.76401,216.18784,84.155174,377.23599,583.81213,215.84482,0.62872666,0.72976518,0.71948272
2.5,3604.4421,3711.3411,4510.749,222.60153,216.05415,84.15213,377.39847,583.94586,215.84787,0.62899745,0.72993231,0.71949291
2.5416667,3607.3481,3733.6982,4513.312,222.43785,215.96736,84.151405,377.56216,584.03265,215.8486,0.62927026,0.73004079,0.7194953
2.5833333,3610.4617,3750.8264,4515.147,222.27388,215.91211,84.152222,377.72614,584.08789,215.84778,0.62954354,0.73010987,0.71949261
2.625,3613.6399,3764.313,4516.4893,222.11037,215.8788,84.154099,377.88962,584.12122,215.8459,0.62981606,0.73015153,0.71948636
2.6666667,3616.791,3775.1851,4517.4927,221.94781,215.86121,84.156693,378.05219,584.13879,215.84331,0.63008696,0.73017347,0.71947771
2.7083333,3619.8572,3784.125,4518.2593,221.78648,215.85522,84.159798,378.2135,584.14478,215.84019,0.63035583,0.73018098,0.71946734
2.75,3621.012,3791.5771,2864.9543,221.63641,215.85815,704.63263,378.36359,584.14185,1795.3673,0.630606,0.73017728,0.71814692
2.7916667,3620.2068,3797.8359,2762.7268,221.49751,215.86823,706.89728,378.50247,584.13177,1793.1028,0.6308375,0.73016471,0.71724111
2.8333333,3617.8821,3803.1055,2692.7285,221.36734,215.8842,708.54199,378.63266,584.11578,1791.458,0.63105446,0.73014474,0.71658319
2.875,3614.5078,3807.5349,2642.3232,221.24332,215.9052,709.81641,378.75668,584.09479,1790.1836,0.63126111,0.73011851,0.71607345
2.9166667,3610.4609,3811.2383,2604.3423,221.12346,215.93053,710.85504,378.87656,584.06946,1789.1449,0.63146091,0.73008686,0.71565801
2.9583333,3606.0132,3814.3074,2574.5413,221.0063,215.95961,711.73718,378.99368,584.04041,1788.2628,0.63165617,0.7300505,0.71530515
3,3601.3525,3816.8186,2550.3264,220.89087,215.992,712.5116,379.10913,584.008,1787.4884,0.63184857,0.73000997,0.71499538
3.0416667,3596.6042,3818.8369,2530.063,220.77647,216.02731,713.20898,379.22351,583.97266,1786.791,0.63203919,0.72996587,0.71471643
3.0833333,3591.8508,3820.4194,2512.6887,220.6627,216.0652,713.84943,379.33728,583.93481,1786.1505,0.63222885,0.72991848,0.71446025
3.125,3587.1453,3821.6155,2497.4929,220.54927,216.10536,714.44641,379.45071,583.89465,1785.5536,0.63241786,0.72986829,0.71422142
3.1666667,3582.5203,3822.4695,2483.9856,220.43602,216.14754,715.00922,379.564,583.85248,1784.9907,0.63260663,0.7298156,0.71399629
3.2083333,3577.9958,3823.0203,2471.8193,220.32281,216.19148,715.54449,379.67719,583.80853,1784.4556,0.63279533,0.72976065,0.71378219
3.25,3573.583,3823.3025,2460.741,220.20963,216.23698,716.05695,379.79037,583.763,1783.9431,0.63298398,0.72970378,0.71357721
3.2916667,3569.2844,3823.3472,2450.5623,220.0965,216.28387,716.55023,379.9035,583.71613,1783.4497,0.63317251,0.72964513,0.71337992
3.3333333,3565.1028,3823.1814,2441.1389,219.98343,216.33197,717.02716,380.01657,583.66803,1782.9729,0.63336092,0.72958505,0.71318913
3.375,3561.0342,3822.8296,2432.3596,219.8705,216.38115,717.48981,380.12952,583.61884,1782.5103,0.63354915,0.72952354,0.71300411
3.4166667,3557.0791,3822.3135,2424.1348,219.75764,216.43126,717.93982,380.24234,583.56873,1782.0602,0.63373727,0.72946095,0.71282405
3.4583333,3553.2339,3821.6519,2416.3931,219.64491,216.48218,718.37872,380.3551,583.51782,1781.6213,0.63392514,0.7293973,0.71264851
3.5,3549.4939,3820.8621,2409.0754,219.53229,216.53383,718.8075,380.46771,583.46619,1781.1925,0.63411283,0.72933269,0.71247697
3.5416667,3545.8547,3819.9587,2402.1335,219.4198,216.58612,719.22723,380.5802,583.41388,1780.7728,0.63430035,0.72926736,0.71230912
3.5833333,3542.312,3818.9553,2395.5269,219.30746,216.63895,719.63855,380.69254,583.36108,1780.3615,0.63448757,0.72920132,0.71214455
3.625,3538.8606,3817.8638,2389.2207,219.1953,216.69226,720.0423,380.80472,583.30774,1779.9578,0.63467449,0.72913468,0.71198308
3.6666667,3535.4961,3816.6946,2383.186,219.08331,216.74599,720.43884,380.91669,583.25403,1779.5612,0.63486111,0.7290675,0.71182448
3.7083333,3532.2146,3815.4565,2377.3975,218.97154,216.80006,720.82886,381.02847,583.19995,1779.1711,0.63504744,0.72899991,0.71166843
3.75,3529.0117,3814.1584,2371.833,218.85999,216.85446,721.21271,381.14001,583.14557,1778.7874,0.63523334,0.7289319,0.71151495
3.7916667,3525.8833,3812.8071,2366.4739,218.74866,216.90912,721.5907,381.25134,583.09088,1778.4093,0.63541889,0.7288636,0.71136373
3.8333333,3522.8264,3811.4097,2361.303,218.63759,216.964,721.96326,381.3624,583.03601,1778.0367,0.63560402,0.72879499,0.71121472
3.875,3519.8369,3809.9712,2356.3059,218.52679,217.01909,722.33063,381.47321,582.9809,1777.6693,0.63578868,0.72872615,0.71106774
3.9166667,3516.9121,3808.4971,2351.4695,218.41626,217.07433,722.69312,381.58374,582.92566,1777.3069,0.63597292,0.72865707,0.71092278
3.9583333,3514.0486,3806.9922,2346.7822,218.30602,217.1297,723.0509,381.694,582.8703,1776.9491,0.63615662,0.72858787,0.71077961
4,3511.2439,3805.4602,2342.2334,218.19608,217.18518,723.40424,381.80392,582.81482,1776.5958,0.6363399,0.72851855,0.71063828
4.0416665,3508.4951,3803.905,2337.8137,218.08643,217.24075,723.7533,381.91357,582.75928,1776.2467,0.63652259,0.72844905,0.71049869
4.0833335,3505.8,3802.3298,2333.5151,217.97711,217.29639,724.09821,382.02289,582.70361,1775.9019,0.6367048,0.72837955,0.71036071
